Parameter,Pantheism (Spinozist),Vahdet-i Vucud (Sufism)
Ontological Equality,Universe = God (Identity),Universe != God (Shadow/Mirror)
Transcendence,None (God is the sum),Absolute (God's Essence is independent)
Will and Consciousness,None (Blind necessity),Exists (Absolute Will and Purpose)
Annihilation Scenario,God dies if Universe dies,God remains if Universe ends
Multiplicity,Parts of the single substance,Refractions of the One
Core Logic,Naturalistic Monism,Theocentric Monism
Subject/Object Relation,Merged,Distinct in manifestation but one in essence
Knowledge Source,Reason/Science,Intuition/Kashf (Revelation)
Relationship Type,Immanence Only,Immanence and Transcendence
Concept of Evil,Perspective Error / Lack of utility,Lack of Light/Good (Privatio Boni)
Human Role,Mode of thinking/extension,Khalifa (Successor/Mirror of Names)
Creation,Eternal necessity,Perpetual creation (Tajdid al-Khalq)
Afterlife,Dissolution into the whole,Return to the Source (Ruju)
Metaphysical Barrier,None (Direct extension),Ayan-i Sabite (Fixed Archetypes)
God's Character,Impersonal / Mathematical,Personal / Loving (Al-Wadud)
Prophethood,Reason's highest peak,Divine inspiration and mediation
Scripture,Allegorical / Ethical guide,The Word of God and Heart of Reality
Ethics,Based on reason and preservation,Based on Divine Law (Sharia) and Marifa
Ultimate Goal,Intellectual love of God,Marifatullah (Gnosis) and Union (Wasl)
